Economy,Year,GDP,Population
AUS,1990,515.317626,17.042
AUS,1991,513.3205307,17.272
AUS,1992,515.5925686,17.486
AUS,1993,536.4177591,17.688
AUS,1994,557.7593219,17.883
AUS,1995,579.1179831,18.077
AUS,1996,601.5798343,18.272
AUS,1997,625.4410201,18.468
AUS,1998,654.0658255,18.665
AUS,1999,686.8872668,18.864
AUS,2000,713.9725305,19.066
AUS,2001,727.7743744,19.269
AUS,2002,756.9073448,19.475
AUS,2003,779.5066673,19.697
AUS,2004,810.6955516,19.949
AUS,2005,836.5593042,20.239
AUS,2006,860.26934,20.573
AUS,2007,892.7645435,20.947
AUS,2008,925.4197883,21.343
AUS,2009,943.2130871,21.739
AUS,2010,962.5767048,22.12
AUS,2011,986.1704713,22.48
AUS,2012,1024.551635,22.822
AUS,2013,1051.594494,23.151
AUS,2014,1078.497831,23.474
AUS,2015,1103.854786,23.8
AUS,2016,1135.064189,24.125
BD,1990,23.08849701,0.258
BD,1991,23.81484759,0.266
BD,1992,24.94809636,0.274
BD,1993,25.0240815,0.281
BD,1994,25.8111883,0.29
BD,1995,26.96719589,0.297
BD,1996,27.74339747,0.304
BD,1997,27.3352445,0.312
BD,1998,27.18257474,0.319
BD,1999,28.01222963,0.326
BD,2000,28.81041623,0.333
BD,2001,29.60098572,0.34
BD,2002,30.74716459,0.347
BD,2003,31.64004856,0.353
BD,2004,31.7996151,0.36
BD,2005,31.9228409,0.365
BD,2006,33.32671796,0.371
BD,2007,33.378235,0.374
BD,2008,32.73079249,0.379
BD,2009,32.15324603,0.384
BD,2010,32.98889788,0.389
BD,2011,34.22443712,0.394
BD,2012,34.53685205,0.399
BD,2013,33.80258872,0.405
BD,2014,33.00831349,0.411
BD,2015,32.82121755,0.417
BD,2016,32.0120056,0.423
CDA,1990,916.5548409,27.692
CDA,1991,897.0717058,28.045
CDA,1992,904.9926339,28.385
CDA,1993,929.0223231,28.711
CDA,1994,970.7677054,29.027
CDA,1995,996.7620341,29.33
CDA,1996,1012.820349,29.622
CDA,1997,1056.16716,29.903
CDA,1998,1097.165026,30.178
CDA,1999,1153.81397,30.454
CDA,2000,1213.612575,30.736
CDA,2001,1235.103458,31.025
CDA,2002,1272.280273,31.321
CDA,2003,1295.210241,31.628
CDA,2004,1335.179927,31.95
CDA,2005,1377.924138,32.288
CDA,2006,1414.072774,32.646
CDA,2007,1443.241528,33.02
CDA,2008,1457.679153,33.405
CDA,2009,1414.683628,33.79
CDA,2010,1458.305599,34.168
CDA,2011,1504.114172,34.539
CDA,2012,1530.368068,34.901
CDA,2013,1568.244706,35.256
CDA,2014,1613.029685,35.605
CDA,2015,1629.174217,35.949
CDA,2016,1652.212414,36.29
CHL,1990,125.4646943,13.242
CHL,1991,135.2564511,13.457
CHL,1992,150.3601437,13.671
CHL,1993,160.2670485,13.883
CHL,1994,168.3287983,14.091
CHL,1995,183.3661079,14.297
CHL,1996,195.8403513,14.498
CHL,1997,210.3871568,14.695
CHL,1998,219.4855167,14.887
CHL,1999,218.5810253,15.077
CHL,2000,230.2247019,15.263
CHL,2001,237.8291327,15.445
CHL,2002,245.2184138,15.623
CHL,2003,255.250416,15.8
CHL,2004,273.6527961,15.974
CHL,2005,289.3682123,16.147
CHL,2006,307.6481126,16.319
CHL,2007,322.7392508,16.491
CHL,2008,334.1304313,16.661
CHL,2009,328.9038313,16.829
CHL,2010,348.1255543,16.993
CHL,2011,369.3992244,17.153
CHL,2012,389.046195,17.31
CHL,2013,404.7831303,17.463
CHL,2014,411.9345949,17.614
CHL,2015,421.4307465,17.763
CHL,2016,426.7655018,17.91
PRC,1990,1825.795839,1172.446
PRC,1991,1995.48669,1189.184
PRC,1992,2279.168343,1204.004
PRC,1993,2595.233745,1217.129
PRC,1994,2933.967773,1228.992
PRC,1995,3255.214575,1239.94
PRC,1996,3578.404403,1249.981
