Economy,Year,SteelConsumption
01_AUS,1990,5511000
01_AUS,1991,5294000
01_AUS,1992,5120000
01_AUS,1993,5757000
01_AUS,1994,6326000
01_AUS,1995,6256000
01_AUS,1996,6400000
01_AUS,1997,6500000
01_AUS,1998,6600000
01_AUS,1999,6600000
01_AUS,2000,6100000
01_AUS,2001,6000000
01_AUS,2002,6800000
01_AUS,2003,7000000
01_AUS,2004,7500000
01_AUS,2005,7400000
01_AUS,2006,7420000
01_AUS,2007,8126000
01_AUS,2008,8224000
01_AUS,2009,5916000
01_AUS,2010,7716000
01_AUS,2011,6672000
01_AUS,2012,7152000
01_AUS,2013,6376000
01_AUS,2014,7142000
01_AUS,2015,6968000
01_AUS,2016,6478000
02_BD,1990,215000
02_BD,1991,215000
02_BD,1992,215000
02_BD,1993,215000
02_BD,1994,215000
02_BD,1995,215000
02_BD,1996,215000
02_BD,1997,215000
02_BD,1998,215000
02_BD,1999,215000
02_BD,2000,215000
02_BD,2001,215000
02_BD,2002,215000
02_BD,2003,215000
02_BD,2004,215000
02_BD,2005,215000
02_BD,2006,215000
02_BD,2007,215000
02_BD,2008,215000
02_BD,2009,215000
02_BD,2010,215000
02_BD,2011,215000
02_BD,2012,215000
02_BD,2013,215000
02_BD,2014,215000
02_BD,2015,215000
02_BD,2016,215000
03_CDA,1990,11222000
03_CDA,1991,10688000
03_CDA,1992,11160000
03_CDA,1993,12714000
03_CDA,1994,15324000
03_CDA,1995,15047000
03_CDA,1996,15300000
03_CDA,1997,17700000
03_CDA,1998,18200000
03_CDA,1999,18200000
03_CDA,2000,19800000
03_CDA,2001,16900000
03_CDA,2002,17671000
03_CDA,2003,17233000
03_CDA,2004,19314000
03_CDA,2005,18014000
03_CDA,2006,20130000
03_CDA,2007,18248000
03_CDA,2008,16799000
03_CDA,2009,10591000
03_CDA,2010,15656000
03_CDA,2011,15746000
03_CDA,2012,17305000
03_CDA,2013,16445000
03_CDA,2014,17527000
03_CDA,2015,14827000
03_CDA,2016,16717000
04_CHL,1990,930000
04_CHL,1991,1131000
04_CHL,1992,1440000
04_CHL,1993,1607000
04_CHL,1994,1549000
04_CHL,1995,1683000
04_CHL,1996,2159000
04_CHL,1997,2321000
04_CHL,1998,2214000
04_CHL,1999,1737000
04_CHL,2000,1977000
04_CHL,2001,2278000
04_CHL,2002,2270000
04_CHL,2003,2290000
04_CHL,2004,2690000
04_CHL,2005,2840000
04_CHL,2006,2770000
04_CHL,2007,2765000
04_CHL,2008,3005000
04_CHL,2009,1960000
04_CHL,2010,2738000
04_CHL,2011,3148000
04_CHL,2012,3457000
04_CHL,2013,3105000
04_CHL,2014,3031000
04_CHL,2015,3215000
04_CHL,2016,3172000
05_PRC,1990,68634000
05_PRC,1991,70863000
05_PRC,1992,85856000
05_PRC,1993,129420000
05_PRC,1994,118515000
05_PRC,1995,99944000
05_PRC,1996,111934000
05_PRC,1997,114721000
05_PRC,1998,122939000
05_PRC,1999,136181000
05_PRC,2000,138086000
05_PRC,2001,170648000
05_PRC,2002,205720000
05_PRC,2003,258570000
05_PRC,2004,296580000
05_PRC,2005,350170000
05_PRC,2006,393400000
05_PRC,2007,435860000
05_PRC,2008,465480000
05_PRC,2009,574420000
05_PRC,2010,612063000
05_PRC,2011,667941000
05_PRC,2012,687609000
05_PRC,2013,772340000
05_PRC,2014,739980000
05_PRC,2015,700351000
05_PRC,2016,708637000
06_HKC,1990,2026000
06_HKC,1991,2301000
06_HKC,1992,2233000
06_HKC,1993,4091000
06_HKC,1994,4474000
06_HKC,1995,3404000
06_HKC,1996,4563000
06_HKC,1997,5116000
06_HKC,1998,4961000
06_HKC,1999,5037000
06_HKC,2000,5223000
06_HKC,2001,5057000
06_HKC,2002,4966000
06_HKC,2003,4851000
06_HKC,2004,5163000
06_HKC,2005,4204000
06_HKC,2006,2625000
06_HKC,2007,2707000
06_HKC,2008,1985000
06_HKC,2009,1703000
06_HKC,2010,1929000
06_HKC,2011,1886000
06_HKC,2012,1991000
06_HKC,2013,2436000
06_HKC,2014,2727000
06_HKC,2015,3773000
06_HKC,2016,3231000
07_INA,1990,4690000
07_INA,1991,4479000
07_INA,1992,4452000
07_INA,1993,5833000
07_INA,1994,5281000
07_INA,1995,7262000
07_INA,1996,7675000
07_INA,1997,7486000
07_INA,1998,3626000
07_INA,1999,3546000
07_INA,2000,5287000
07_INA,2001,5457000
07_INA,2002,5248000
07_INA,2003,5063000
07_INA,2004,6175000
07_INA,2005,7814000
07_INA,2006,7494000
07_INA,2007,8694000
07_INA,2008,10587000
