Economy,Year,SteelConsumption
AUS,12/31/1990,5511000
AUS,12/31/1991,5294000
AUS,12/31/1992,5120000
AUS,12/31/1993,5757000
AUS,12/31/1994,6326000
AUS,12/31/1995,6256000
AUS,12/31/1996,6400000
AUS,12/31/1997,6500000
AUS,12/31/1998,6600000
AUS,12/31/1999,6600000
AUS,12/31/2000,6100000
AUS,12/31/2001,6000000
AUS,12/31/2002,6800000
AUS,12/31/2003,7000000
AUS,12/31/2004,7500000
AUS,12/31/2005,7400000
AUS,12/31/2006,7420000
AUS,12/31/2007,8126000
AUS,12/31/2008,8224000
AUS,12/31/2009,5916000
AUS,12/31/2010,7716000
AUS,12/31/2011,6672000
AUS,12/31/2012,7152000
AUS,12/31/2013,6376000
AUS,12/31/2014,7142000
AUS,12/31/2015,6968000
AUS,12/31/2016,6478000
BD,12/31/1990,215000
BD,12/31/1991,215000
BD,12/31/1992,215000
BD,12/31/1993,215000
BD,12/31/1994,215000
BD,12/31/1995,215000
BD,12/31/1996,215000
BD,12/31/1997,215000
BD,12/31/1998,215000
BD,12/31/1999,215000
BD,12/31/2000,215000
BD,12/31/2001,215000
BD,12/31/2002,215000
BD,12/31/2003,215000
BD,12/31/2004,215000
BD,12/31/2005,215000
BD,12/31/2006,215000
BD,12/31/2007,215000
BD,12/31/2008,215000
BD,12/31/2009,215000
BD,12/31/2010,215000
BD,12/31/2011,215000
BD,12/31/2012,215000
BD,12/31/2013,215000
BD,12/31/2014,215000
BD,12/31/2015,215000
BD,12/31/2016,215000
CDA,12/31/1990,11222000
CDA,12/31/1991,10688000
CDA,12/31/1992,11160000
CDA,12/31/1993,12714000
CDA,12/31/1994,15324000
CDA,12/31/1995,15047000
CDA,12/31/1996,15300000
CDA,12/31/1997,17700000
CDA,12/31/1998,18200000
CDA,12/31/1999,18200000
CDA,12/31/2000,19800000
CDA,12/31/2001,16900000
CDA,12/31/2002,17671000
CDA,12/31/2003,17233000
CDA,12/31/2004,19314000
CDA,12/31/2005,18014000
CDA,12/31/2006,20130000
CDA,12/31/2007,18248000
CDA,12/31/2008,16799000
CDA,12/31/2009,10591000
CDA,12/31/2010,15656000
CDA,12/31/2011,15746000
CDA,12/31/2012,17305000
CDA,12/31/2013,16445000
CDA,12/31/2014,17527000
CDA,12/31/2015,14827000
CDA,12/31/2016,16717000
CHL,12/31/1990,930000
CHL,12/31/1991,1131000
CHL,12/31/1992,1440000
CHL,12/31/1993,1607000
CHL,12/31/1994,1549000
CHL,12/31/1995,1683000
CHL,12/31/1996,2159000
CHL,12/31/1997,2321000
CHL,12/31/1998,2214000
CHL,12/31/1999,1737000
CHL,12/31/2000,1977000
CHL,12/31/2001,2278000
CHL,12/31/2002,2270000
CHL,12/31/2003,2290000
CHL,12/31/2004,2690000
CHL,12/31/2005,2840000
CHL,12/31/2006,2770000
CHL,12/31/2007,2765000
CHL,12/31/2008,3005000
CHL,12/31/2009,1960000
CHL,12/31/2010,2738000
CHL,12/31/2011,3148000
CHL,12/31/2012,3457000
CHL,12/31/2013,3105000
CHL,12/31/2014,3031000
CHL,12/31/2015,3215000
CHL,12/31/2016,3172000
PRC,12/31/1990,68634000
PRC,12/31/1991,70863000
PRC,12/31/1992,85856000
PRC,12/31/1993,129420000
PRC,12/31/1994,118515000
PRC,12/31/1995,99944000
PRC,12/31/1996,111934000
PRC,12/31/1997,114721000
PRC,12/31/1998,122939000
PRC,12/31/1999,136181000
PRC,12/31/2000,138086000
PRC,12/31/2001,170648000
PRC,12/31/2002,205720000
PRC,12/31/2003,258570000
PRC,12/31/2004,296580000
PRC,12/31/2005,350170000
PRC,12/31/2006,393400000
PRC,12/31/2007,435860000
PRC,12/31/2008,465480000
PRC,12/31/2009,574420000
PRC,12/31/2010,612063000
PRC,12/31/2011,667941000
PRC,12/31/2012,687609000
PRC,12/31/2013,772340000
PRC,12/31/2014,739980000
PRC,12/31/2015,700351000
PRC,12/31/2016,708637000
HKC,12/31/1990,2026000
HKC,12/31/1991,2301000
HKC,12/31/1992,2233000
HKC,12/31/1993,4091000
HKC,12/31/1994,4474000
HKC,12/31/1995,3404000
HKC,12/31/1996,4563000
HKC,12/31/1997,5116000
HKC,12/31/1998,4961000
HKC,12/31/1999,5037000
HKC,12/31/2000,5223000
HKC,12/31/2001,5057000
HKC,12/31/2002,4966000
HKC,12/31/2003,4851000
HKC,12/31/2004,5163000
HKC,12/31/2005,4204000
HKC,12/31/2006,2625000
HKC,12/31/2007,2707000
HKC,12/31/2008,1985000
HKC,12/31/2009,1703000
HKC,12/31/2010,1929000
HKC,12/31/2011,1886000
HKC,12/31/2012,1991000
HKC,12/31/2013,2436000
HKC,12/31/2014,2727000
HKC,12/31/2015,3773000
HKC,12/31/2016,3231000
INA,12/31/1990,4690000
INA,12/31/1991,4479000
INA,12/31/1992,4452000
INA,12/31/1993,5833000
INA,12/31/1994,5281000
INA,12/31/1995,7262000
INA,12/31/1996,7675000
INA,12/31/1997,7486000
INA,12/31/1998,3626000
INA,12/31/1999,3546000
INA,12/31/2000,5287000
INA,12/31/2001,5457000
INA,12/31/2002,5248000
INA,12/31/2003,5063000
INA,12/31/2004,6175000
INA,12/31/2005,7814000
INA,12/31/2006,7494000
INA,12/31/2007,8694000
INA,12/31/2008,10587000
INA,12/31/2009,8908000
