Economy,Year,Date,RETT,GDP,CSGDP,POP,POPU,GDPC
01_AUS,1980,12/31/1980,6040,439.4,251.3,14.69,12.57,29907.53
01_AUS,1981,12/31/1981,6098,454.07,263.59,14.93,12.79,30419.25
01_AUS,1982,12/31/1982,6305,469.18,272.66,15.18,13,30912
01_AUS,1983,12/31/1983,6309,458.76,271.43,15.37,13.16,29849.91
01_AUS,1984,12/31/1984,6411,479.78,281.19,15.54,13.31,30865.99
01_AUS,1985,12/31/1985,6432,504.97,295.63,15.76,13.49,32045.06
01_AUS,1986,12/31/1986,6689,525.35,311.19,16.02,13.7,32796.67
01_AUS,1987,12/31/1987,6888,538.78,326.25,16.26,13.91,33127.1
01_AUS,1988,12/31/1988,6898,569.69,346.02,16.53,14.13,34459.44
01_AUS,1989,12/31/1989,6988,591.74,359.14,16.81,14.37,35192.2
01_AUS,1990,12/31/1990,7490,612.85,374.65,17.07,14.58,35912.73
01_AUS,1991,12/31/1991,7617,610.43,377.86,17.28,14.76,35317.47
01_AUS,1992,12/31/1992,7765,612.95,387.59,17.5,14.92,35035.73
01_AUS,1993,12/31/1993,8345,637.65,398.88,17.67,15.04,36092.62
01_AUS,1994,12/31/1994,7994,663.03,418.53,17.86,15.18,37134.24
01_AUS,1995,12/31/1995,8310,688.45,442.98,18.07,15.34,38095.1
01_AUS,1996,12/31/1996,8434,715.16,457.27,18.31,15.52,39056.18
01_AUS,1997,12/31/1997,8620,743.52,478.92,18.52,15.67,40153.6
01_AUS,1998,12/31/1998,8788,777.55,498.22,18.71,15.81,41555.91
01_AUS,1999,12/31/1999,8826,817,524.24,18.93,15.97,43168.29
01_AUS,2000,12/31/2000,9061,849.14,546.03,19.15,16.13,44334.39
01_AUS,2001,12/31/2001,9227,865.53,565.77,19.41,16.33,44585.17
01_AUS,2002,12/31/2002,9538,900.17,587.37,19.65,16.55,45806.69
01_AUS,2003,12/31/2003,9535,927.04,605.11,19.9,16.78,46595.9
01_AUS,2004,12/31/2004,9461,964.64,627.68,20.13,17,47926.73
01_AUS,2005,12/31/2005,9286,995.55,651.19,20.39,17.25,48813.88
01_AUS,2006,12/31/2006,9386,1023.37,671.78,20.7,17.53,49443.2
01_AUS,2007,12/31/2007,9757,1062.71,699.94,20.83,17.67,51024.21
01_AUS,2008,12/31/2008,9814,1101.59,723.84,21.25,18.05,51841.25
01_AUS,2009,12/31/2009,10162,1122.92,739.43,21.69,18.45,51767.35
01_AUS,2010,12/31/2010,10253,1146.14,753.46,22.03,18.77,52022.13
01_AUS,2011,12/31/2011,10477,1174.36,775.2,22.34,19.06,52567.75
01_AUS,2012,12/31/2012,10454,1220.18,801.23,22.73,19.41,53673.1
01_AUS,2013,12/31/2013,10485,1252.09,821.19,23.13,19.78,54137.19
01_AUS,2014,12/31/2014,10329,1284.25,839.55,23.48,20.1,54705.73
01_AUS,2015,12/31/2015,10491,1314.26,863.02,23.82,20.41,55183.74
01_AUS,2016,12/31/2016,10518,1351.67,894.55,24.19,20.76,55875.1
