date,sales
10/1/2009,338630
11/1/2009,339386
12/1/2009,400264
1/1/2010,314640
2/1/2010,311022
3/1/2010,360819
4/1/2010,356460
5/1/2010,365713
6/1/2010,358675
7/1/2010,362027
8/1/2010,362682
9/1/2010,346069
10/1/2010,355212
11/1/2010,365809
12/1/2010,426654
1/1/2011,335608
2/1/2011,337352
3/1/2011,387092
4/1/2011,380754
5/1/2011,391970
6/1/2011,388636
7/1/2011,384600
8/1/2011,394548
9/1/2011,374895
10/1/2011,379364
11/1/2011,391081
12/1/2011,451669
1/1/2012,355058
2/1/2012,372523
3/1/2012,414275
4/1/2012,393035
5/1/2012,418648
6/1/2012,400996
7/1/2012,396020
8/1/2012,417911
9/1/2012,385597
10/1/2012,399341
11/1/2012,410992
12/1/2012,461994
1/1/2013,375537
2/1/2013,373938
3/1/2013,421638
4/1/2013,408381
5/1/2013,436985
6/1/2013,414701
7/1/2013,422357
8/1/2013,434950
9/1/2013,396199
10/1/2013,415740
11/1/2013,423611
12/1/2013,477205
1/1/2014,383399
2/1/2014,380315
3/1/2014,432806
4/1/2014,431415
5/1/2014,458822
6/1/2014,433152
7/1/2014,443005
8/1/2014,450913
9/1/2014,420871
10/1/2014,437702
11/1/2014,437910
12/1/2014,501232
1/1/2015,397252
2/1/2015,386935
3/1/2015,444110
4/1/2015,438217
5/1/2015,462615
6/1/2015,448229
7/1/2015,457710
8/1/2015,456340
9/1/2015,430917
